id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
991410,,98.1786,10.0178,21,0,0,0,0,0,0,0,0
991415,,98.1866,10.0403,21,0,0,0,0,0,0,0,0
991420,,98.2164,10.4814,21,0,0,0,0,0,0,0,0
991425,,98.4869,10.8831,21,0,0,0,0,0,0,0,0
991430,,97.9161,10.9294,21,0,0,0,0,0,0,0,0
991435,,98.2122,10.9478,21,0,0,0,0,0,0,0,0
991440,,98.5339,10.9506,21,0,0,0,0,0,0,0,0
991445,,98.2311,11.2625,21,0,0,0,0,0,0,0,0
991450,,98.2808,11.4817,21,0,0,0,0,0,0,0,0
991455,,98.4983,11.5661,21,0,0,0,0,0,0,0,0
991460,,98.09,11.6311,21,0,0,0,0,0,0,0,0
991465,,97.6339,11.8761,21,0,0,0,0,0,0,0,0
991470,,98.288,11.8875,21,0,0,0,0,0,0,0,0
991475,,98.2564,11.9211,21,0,0,0,0,0,0,0,0
991480,,98.1419,12.1419,21,0,0,0,0,0,0,0,0
991485,,98.6191,12.3789,21,0,0,0,0,0,0,0,0
991490,,98.5597,12.3289,21,0,0,0,0,0,0,0,0
991495,,98.0056,12.2819,21,0,0,0,0,0,0,0,0
991500,,98.4989,12.5139,21,0,0,0,0,0,0,0,0
991505,,98.2858,12.5025,21,0,0,0,0,0,0,0,0
991510,,98.3494,12.3169,21,0,0,0,0,0,0,0,0
991515,,97.8373,12.7724,21,0,0,0,0,0,0,0,0
991520,,98.2394,13.2133,21,0,0,0,0,0,0,0,0
991525,,97.9211,13.7831,21,0,0,0,0,0,0,0,0
991530,,93.3805,14.0642,21,0,0,0,0,0,0,0,0
991535,,97.7892,14.1553,21,0,0,0,0,0,0,0,0
991540,,93.6922,14.8908,21,0,0,0,0,0,0,0,0
991545,,97.6697,15.5214,21,0,0,0,0,0,0,0,0
991550,,94.5833,16.0097,21,0,0,0,0,0,0,0,0
991555,,97.5692,16.2336,21,0,0,0,0,0,0,0,0
991560,,93.703,18.6681,21,0,0,0,0,0,0,0,0
991565,,93.4905,19.4008,21,0,0,0,0,0,0,0,0
991570,,93.8017,19.2686,21,0,0,0,0,0,0,0,0
991575,,93.0244,19.8278,21,0,0,0,0,0,0,0,0
991580,,98.3164,27.5419,21,0,0,0,0,0,0,0,0
991585,,97.76,24.2575,21,0,0,0,0,0,0,0,0
991590,,99.5664,22.938,21,0,0,0,0,0,0,0,0
991595,,101.1482,21.5726,21,0,0,0,0,0,0,0,0
991600,,98.05,19.8075,21,0,0,0,0,0,0,0,0
